word,weight_Avg
mujeres,0.06366189468518682
informacion,0.06071717993436516
incidencia,0.05237828008789241
delictiva,0.05237828008789241
accesibilidad,0.04794781321043589
rampas,0.04576886063362281
movilidad,0.04564304129266151
transporte,0.04392238046555938
viajes,0.03953576184455664
poblacion,0.035406703658206036
ocupacion,0.03036893128544507
discapacidad,0.02950515068382547
inclusiva,0.02878682154418048
personas,0.028130472850609465
universal,0.027717701764812273
horario,0.027686077740113117
capa,0.02713444389229723
zonas,0.026189140043946207
c5,0.026189140043946207
conexion,0.026189140043946207
atracciones,0.026189140043946207
panico,0.02612755887640746
botones,0.02612755887640746
sector,0.023148993330688015
poblacional,0.023148993330688015
