word,weight_Avg
puntos,0.05481194416567264
zonas,0.05109903303385415
transporte,0.04229909567595033
subir,0.03904296895514599
incluir,0.035859020938564204
riesgos,0.03532427104896068
c5,0.029337648366867346
kml,0.028771343140808394
etc,0.02863893859118976
capas,0.028487047662974614
lineas,0.028316328486179352
transito,0.0278135920981417
delitos,0.027777777777777776
traves,0.025149410243152735
actos,0.022649645155065932
delictivos,0.022649645155065932
destinos,0.022626059279342907
inseguridad,0.022547085646489332
rojas,0.022050447120200534
conexion,0.020682952784136028
discapacidades,0.020682952784136028
accidentes,0.020682952784136028
mercados,0.019641855032959656
publicos,0.019641855032959656
catastrales,0.019641855032959656
